"municipality_code","municipality_name","microregion_code","microregion_name","mesoregion_code","mesoregion_name","immediate_region_code","immediate_region_name","intermediate_region_code","intermediate_region_name","state_code","state_name","state_abbreviation","region_code","region_name"
1100015,"Alta Floresta D'Oeste",11006,"Cacoal",1102,"Leste Rondoniense",110005,"Cacoal",1102,"Ji-Paraná",11,"Rondônia","RO",1,"Norte"
1100023,"Ariquemes",11003,"Ariquemes",1102,"Leste Rondoniense",110002,"Ariquemes",1101,"Porto Velho",11,"Rondônia","RO",1,"Norte"
1100031,"Cabixi",11008,"Colorado do Oeste",1102,"Leste Rondoniense",110006,"Vilhena",1102,"Ji-Paraná",11,"Rondônia","RO",1,"Norte"
1100049,"Cacoal",11006,"Cacoal",1102,"Leste Rondoniense",110005,"Cacoal",1102,"Ji-Paraná",11,"Rondônia","RO",1,"Norte"
1100056,"Cerejeiras",11008,"Colorado do Oeste",1102,"Leste Rondoniense",110006,"Vilhena",1102,"Ji-Paraná",11,"Rondônia","RO",1,"Norte"
1100064,"Colorado do Oeste",11008,"Colorado do Oeste",1102,"Leste Rondoniense",110006,"Vilhena",1102,"Ji-Paraná",11,"Rondônia","RO",1,"Norte"
1100072,"Corumbiara",11008,"Colorado do Oeste",1102,"Leste Rondoniense",110006,"Vilhena",1102,"Ji-Paraná",11,"Rondônia","RO",1,"Norte"
1100080,"Costa Marques",11002,"Guajará-Mirim",1101,"Madeira-Guaporé",110004,"Ji-Paraná",1102,"Ji-Paraná",11,"Rondônia","RO",1,"Norte"
1100098,"Espigão D'Oeste",11006,"Cacoal",1102,"Leste Rondoniense",110005,"Cacoal",1102,"Ji-Paraná",11,"Rondônia","RO",1,"Norte"
1100106,"Guajará-Mirim",11002,"Guajará-Mirim",1101,"Madeira-Guaporé",110001,"Porto Velho",1101,"Porto Velho",11,"Rondônia","RO",1,"Norte"
1100114,"Jaru",11004,"Ji-Paraná",1102,"Leste Rondoniense",110003,"Jaru",1101,"Porto Velho",11,"Rondônia","RO",1,"Norte"
1100122,"Ji-Paraná",11004,"Ji-Paraná",1102,"Leste Rondoniense",110004,"Ji-Paraná",1102,"Ji-Paraná",11,"Rondônia","RO",1,"Norte"
1100130,"Machadinho D'Oeste",11003,"Ariquemes",1102,"Leste Rondoniense",110003,"Jaru",1101,"Porto Velho",11,"Rondônia","RO",1,"Norte"
1100148,"Nova Brasilândia D'Oeste",11005,"Alvorada D'Oeste",1102,"Leste Rondoniense",110005,"Cacoal",1102,"Ji-Paraná",11,"Rondônia","RO",1,"Norte"
1100155,"Ouro Preto do Oeste",11004,"Ji-Paraná",1102,"Leste Rondoniense",110004,"Ji-Paraná",1102,"Ji-Paraná",11,"Rondônia","RO",1,"Norte"
1100189,"Pimenta Bueno",11007,"Vilhena",1102,"Leste Rondoniense",110005,"Cacoal",1102,"Ji-Paraná",11,"Rondônia","RO",1,"Norte"
1100205,"Porto Velho",11001,"Porto Velho",1101,"Madeira-Guaporé",110001,"Porto Velho",1101,"Porto Velho",11,"Rondônia","RO",1,"Norte"
1100254,"Presidente Médici",11004,"Ji-Paraná",1102,"Leste Rondoniense",110004,"Ji-Paraná",1102,"Ji-Paraná",11,"Rondônia","RO",1,"Norte"
